id,active,name,type,application,amount,times_to_run,limit_adjustments,period_days,max_amount_per_period,taxes,roles,data_service,upload_in_kilobits,download_in_kilobits,technology_code,usage_based_billing_policy_id,unit_quantity_in_gigabytes,general_ledger_code_id,tax_exemption_amount,voice_service,unlimited_local_minutes,unlimited_long_distance_minutes,local_minutes,local_minutes_amount,long_distance_minutes,long_distance_minutes_amount,first_interval_in_seconds,sub_interval_in_seconds,local_prefixes,inbound_toll_free_rate,billing_frequency_in_months,account_groups
51,True,2015 Giga1 Residential 100 Mbps,recurring,debit,59.95,0,False,0,0,[],[],True,100000,100000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
52,True,2015 Giga1 Residential 25 Mbps,recurring,debit,39.95,0,False,0,0,[],[],True,25000,25000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
53,True,2015 Giga1 Residential 50 Mbps,recurring,debit,49.95,0,False,0,0,[],[],True,50000,50000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
54,True,2015 Giga1 Residential 500 Mbps,recurring,debit,69.95,0,False,0,0,[],[],True,500000,500000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
55,True,2016 AERO BDSL Internet Access 14Mbps/4Mbps Double Upload Offer,recurring,debit,99,0,False,0,0,[],[],True,4000,4000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
56,True,2016 AERO BDSL Internet Access up to 20Mbps / up to 3Mbps,recurring,debit,149,0,False,0,0,[],[],True,3000,3000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
57,True,256kbps Business Broadband Service,recurring,debit,93.46,0,False,0,0,[],[],True,256,256,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
58,True,30 Static IP /27,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
59,True,3Mbps Res,recurring,debit,0,0,False,0,0,[],[],True,3000,3000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
60,True,5 Static IP /29,recurring,debit,29.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
61,True,512Kbps Business Broadband Service,recurring,debit,0,0,False,0,0,[],[],True,512,512,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
62,True,911 VOIP Lines Service,recurring,debit,1,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
63,True,AERO 1 IP,recurring,debit,10,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
64,True,AERO 14 IP Block,recurring,debit,69.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
65,True,AERO 5 IP Block,recurring,debit,49.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
66,True,AERO DIA 1.5Mbps,recurring,debit,0,0,False,0,0,[],[],True,5000,5000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
67,True,AERO DIA 1Mbps,recurring,debit,249.95,0,False,0,0,[],[],True,1000,1000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
68,True,AERO DIA 20Mbps,recurring,debit,399,0,False,0,0,[],[],True,20000,20000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
69,True,AERO DIA Access 30Mbps/30Mbps,recurring,debit,0,0,False,0,0,[],[],True,30000,30000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
70,True,AERO RDSL 1Mbps,recurring,debit,0,0,False,0,0,[],[],True,1000,1000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
71,True,Collocation,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
72,True,Equipment,recurring,debit,19.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
73,True,Fee,recurring,debit,9.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
74,True,Fiber Port,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
75,True,Hunting & 911 VOIP Lines Service,recurring,debit,1,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
76,True,Hunting Telephone Service,recurring,debit,10,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
77,True,IP,recurring,debit,10,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
78,True,IP Adress,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
79,True,Lease,recurring,debit,20,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
80,True,Managed Router / Other,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
81,True,Microwave Link Upgrade / Technician Visit,recurring,debit,150,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
82,True,Mikrotik Router - Lease,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
83,True,Mikrotik Router - Monthly Management Service,recurring,debit,9.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
84,True,Remote Location 1Mbps/256Kbps WIFI,recurring,debit,19.95,0,False,0,0,[],[],True,256,256,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
85,True,Remote Location 3G / 4G Internet Redundancy,recurring,debit,9.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
86,True,Static IP,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
87,True,Telephone Lines,recurring,debit,1.25,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
88,True,Tower,recurring,debit,250,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
89,True,USB 3G/4G Backup,recurring,debit,50,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
90,True,VLAN DATA,recurring,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
91,True,VLAN,recurring,debit,10,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
92,True,VOIP Service -  7 Lines,recurring,debit,209.65,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
93,True,VOIP Service - 1 Line,recurring,debit,29.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
94,True,VOIP Service - 3 Lines,recurring,debit,89.85,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
95,True,VOIP Service - 5 Lines,recurring,debit,149.75,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
96,True,WN Resi WDSL WAN 1Mbps,recurring,debit,29.95,0,False,0,0,[],[],True,1000,1000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
